"!株価データ",
"!","","","","午前","","","","午後","","","","","","","","",
"! コード","フラグ","売買単位","銘柄名","始値(円)","高値(円)","安値(円)","終値(円)","始値(円)","高値(円)","安値(円)","終値(円)","最終気配(円)","前日比(円)","売買高加重平均価格(円)","売買高(千株)","売買代金(千円)",
"! 2026年1月9日(金曜日)","","","1-1",
"1301","",100,"極洋",4960,4975,4930,4935,4945,4950,4930,4950,"－",30,4947.5571,21.9,108351.5,
"1332","",100,"ニッスイ",1141,1145,1125,1127.5,1129,1129,1125,1125.5,"－",-15,1130.1528,1444.5,1632505.65,
"1333","",100,"マルハニチロ",1327.5,1332,1313,1314,1312.5,1314,1307,1307,"－",-8.5,1313.3557,436.1,572754.4,
"1375","",100,"ユキグニファクトリー",1057,1059,1056,1058,1058,1058,1055,1055,"－",0,1056.7715,33.7,35613.2,
"1377","",100,"サカタのタネ",4350,4380,4330,4345,4340,4345,4315,4335,"－",0,4337.1396,111,481422.5,
"1379","",100,"ホクト",2010,2022,2009,2016,2012,2029,2012,2025,"－",7,2020.7699,69.1,139635.2,
"1515","",100,"日鉄鉱",2579,2652,2561,2652,2652,2652,2610,2624,"－",24,2612.9239,867.8,2267495.4,
"1605","",100,"ＩＮＰＥＸ",3079,3099,3069,3098,3097,3130,3086,3120,"－",72,3098.0302,5748.7,17809646.4,
"1662","",100,"石油資源",1699,1759,1698,1754,1759,1763,1727,1755,"－",85,1733.8524,4129.1,7159249.9,
"1663","",100,"Ｋ＆Ｏエナジー",3770,3800,3745,3800,3800,3830,3775,3830,"－",110,3794.9264,135.9,515730.5,
"1414","",100,"ショーボンド",1372.5,1381,1359,1364.5,1364.5,1373,1364.5,1369,"－",3.5,1368.6105,922.4,1262406.3,
"1417","",100,"ミライト・ワン",3630,3644,3567,3569,3580,3616,3568,3616,"－",-1,3600.7305,220.8,795041.3,
"! 2026年1月9日(金曜日)","","","1-2",
"1419","",100,"タマホーム",3505,3520,3470,3470,3470,3475,3450,3450,"－",-50,3477.4088,534.5,1858675,
"1429","",100,"日本アクア",880,884,875,878,878,881,877,881,"－",4,879.455,43.3,38080.4,
