"!株価データ",
"!","","","","午前","","","","午後","","","","","","","","",
"! コード","フラグ","売買単位","銘柄名","始値(円)","高値(円)","安値(円)","終値(円)","始値(円)","高値(円)","安値(円)","終値(円)","最終気配(円)","前日比(円)","売買高加重平均価格(円)","売買高(千株)","売買代金(千円)",
"! 2026年1月13日(火曜日)","","","1-1",
"1301","",100,"極洋",4970,4970,4920,4950,4955,4955,4890,4890,"－",-60,4922.5946,55.5,273204,
"1332","",100,"ニッスイ",1141,1152,1134.5,1148.5,1150,1150.5,1137,1141.5,"－",16,1142.676,1633.5,1866561.3,
"1333","",100,"マルハニチロ",1329.5,1331,1313.5,1324,1330,1330,1320.5,1321.5,"－",14.5,1323.1129,396.1,524085,
"1375","",100,"ユキグニファクトリー",1060,1061,1043,1050,1050,1050,1045,1045,"－",-10,1049.1714,123.7,129782.5,
"1377","",100,"サカタのタネ",4375,4385,4325,4340,4340,4340,4275,4285,"－",-50,4323.9808,245.3,1060672.5,
"1379","",100,"ホクト",2038,2047,2024,2037,2036,2036,2022,2023,"－",-2,2031.1181,65.2,132428.9,
"1515","",100,"日鉄鉱",2819,2884,2712,2878,2875,2944,2851,2930,"－",306,2858.0356,1966.7,5620898.6,
"1605","",100,"ＩＮＰＥＸ",3177,3181,3125,3165,3163,3177,3153,3161,"－",41,3159.3946,6961.4,21993809.5,
"1662","",100,"石油資源",1995,1996,1861,1975,1980,1980,1907,1920,"－",165,1935.6842,10448.7,20225383,
"1663","",100,"Ｋ＆Ｏエナジー",3930,3960,3885,3960,3955,4005,3955,3985,"－",155,3952.6996,325.6,1286999,
"1414","",100,"ショーボンド",1399,1399.5,1374,1392,1391,1401.5,1387.5,1390.5,"－",21.5,1390.4672,1472.8,2047880.1,
"1417","",100,"ミライト・ワン",3743,3746,3675,3719,3717,3742,3708,3742,"－",126,3726.0036,359.8,1340616.1,
"! 2026年1月13日(火曜日)","","","1-2",
"1419","",100,"タマホーム",3470,3535,3470,3530,3530,3545,3515,3520,"－",70,3514.1487,519.2,1824546,
"1429","",100,"日本アクア",884,887,877,887,887,887,883,883,"－",2,883.2423,104.4,92210.5,
"1433","",100,"ベステラ",1300,1300,1276,1282,1282,1290,1280,1280,"－",-6,1284.1612,106.7,137020,
"1719","",100,"安藤ハザマ",2019,2024.5,2001,2018,2021,2021,2000,2013.5,"－",34.5,2014.4703,852.4,1717134.5,
"1720","",100,"東急建設",1367,1370,1347,1357,1357,1360,1353,1360,"－",21,1359.24,229.6,312081.5,
"1721","",100,"コムシスＨＤ",4828,4853,4794,4837,4852,4852,4809,4809,"－",95,4821.8586,555,2676131.5,
"1726","",100,"Ｂｒ．ＨＤ",360,361,356,359,358,359,358,358,"－",2,358.7396,137.1,49183.2,
"1762","",100,"高松Ｇ",4170,4170,4135,4165,4155,4160,4135,4135,"－",20,4147.8975,28.3,117385.5,
"1766","",100,"東建コーポ",14980,14980,14810,14910,14910,14960,14850,14860,"－",-30,14887.7885,10.4,154833,
"1780","",100,"ヤマウラ",1531,1532,1506,1525,1519,1523,1515,1518,"－",8,1519.8248,37.1,56385.5,
"1786","",100,"オリエンタル白石",419,420,417,419,418,421,417,420,"－",3,418.9804,454.2,190300.9,
"1801","",100,"大成建",16995,17000,16655,16890,16890,17110,16840,17110,"－",1020,16951.6303,1542.7,26151280,
"1802","",100,"大林組",3560,3560,3478,3525,3525,3552,3495,3552,"－",132,3532.3309,3853.2,13610777.6,
"1803","",100,"清水建",2920,2920,2840.5,2850.5,2849,2853,2835.5,2839,"－",44,2856.666,2747.8,7849546.9,
"1808","",100,"長谷工",3243,3264,3229,3245,3244,3264,3239,3246,"－",58,3247.2025,968.3,3144266.2,
"1812","",100,"鹿島",6373,6382,6222,6265,6265,6305,6245,6283,"－",106,6290.4887,2342.3,14734211.7,
"1813","",100,"不動テトラ",2849,2862,2810,2839,2846,2895,2842,2883,"－",140,2856.4736,256.1,731542.9,
"1814","",100,"大末建",4005,4020,3940,3980,3975,3980,3940,3955,"－",15,3971.8213,86.2,342371,
"1815","",100,"鉄建建設",5060,5070,4950,5010,5020,5030,4990,4990,"－",140,5016.7036,126.2,633108,
