"!株価データ",
"!","","","","午前","","","","午後","","","","","","","","",
"! コード","フラグ","売買単位","銘柄名","始値(円)","高値(円)","安値(円)","終値(円)","始値(円)","高値(円)","安値(円)","終値(円)","最終気配(円)","前日比(円)","売買高加重平均価格(円)","売買高(千株)","売買代金(千円)",
"! 2026年1月15日(木曜日)","","","1-1",
"1301","",100,"極洋",4910,4950,4905,4930,4940,4945,4925,4935,"－",5,4935.2848,31.6,155955,
"1332","",100,"ニッスイ",1161,1167,1155.5,1160,1160,1162.5,1155,1155,"－",3,1158.0364,1096.6,1269902.7,
"1333","",100,"マルハニチロ",1349.5,1358,1344,1345,1345,1354,1345,1350,"－",10,1349.4402,505.1,681602.25,
"1375","",100,"ユキグニファクトリー",1062,1069,1062,1067,1068,1070,1066,1070,"－",9,1066.6069,55.2,58876.7,
"1377","",100,"サカタのタネ",4035,4130,4025,4070,4060,4120,4045,4100,"－",115,4088.3308,594,2428468.5,
"1379","",100,"ホクト",2032,2040,2026,2032,2026,2034,2026,2034,"－",3,2031.6536,48.5,98535.2,
"1515","",100,"日鉄鉱",2933,3210,2920,3185,3200,3210,3115,3155,"－",217,3102.9332,2255,6997114.4,
"1605","",100,"ＩＮＰＥＸ",3260,3285,3216,3277,3279,3287,3261,3286,"－",20,3268.8159,4644.7,15182669,
"1662","",100,"石油資源",2032,2145,2008,2124,2130,2133,2030,2047,"－",-78,2080.2457,11454.2,23827550.1,
"1663","",100,"Ｋ＆Ｏエナジー",4105,4290,4075,4280,4280,4295,4205,4240,"－",110,4201.7995,223.4,938682,
"1414","",100,"ショーボンド",1410.5,1424,1406,1418,1418,1423.5,1417,1418,"－",10,1416.9163,1007.5,1427543.15,
"1417","",100,"ミライト・ワン",3755,3801,3754,3801,3802,3805,3777,3777,"－",4,3781.1006,194.9,736936.5,
"! 2026年1月15日(木曜日)","","","1-2",
"1419","",100,"タマホーム",3630,3695,3620,3660,3655,3720,3655,3710,"－",100,3681.0004,497.3,1830561.5,
"1429","",100,"日本アクア",885,890,885,888,887,888,882,882,"－",-5,886.2033,60.5,53615.3,
"1433","",100,"ベステラ",1310,1320,1283,1305,1306,1308,1300,1302,"－",13,1306.0927,173.7,226868.3,
"1719","",100,"安藤ハザマ",2018,2037.5,2016,2031.5,2030,2034,2013,2013,"－",-15,2021.5792,802.9,1623125.95,
"1720","",100,"東急建設",1360,1379,1355,1374,1373,1376,1367,1372,"－",11,1370.2577,239.4,328039.7,
"1721","",100,"コムシスＨＤ",4876,4925,4869,4920,4900,4926,4871,4871,"－",-2,4889.0433,501.5,2451855.2,
"1726","",100,"Ｂｒ．ＨＤ",358,361,357,361,361,362,360,361,"－",3,359.9031,139.3,50134.5,
"1762","",100,"高松Ｇ",4155,4190,4140,4175,4185,4195,4170,4195,"－",20,4178.0311,19.3,80636,
"1766","",100,"東建コーポ",14860,15000,14850,14980,15000,15000,14910,14910,"－",40,14943.2979,9.4,140467,
"1780","",100,"ヤマウラ",1533,1538,1531,1532,1532,1533,1530,1531,"－",-3,1532.8942,20.8,31884.2,
"1786","",100,"オリエンタル白石",429,431,426,430,429,434,429,432,"－",8,430.4102,230.4,99166.5,
"1801","",100,"大成建",16835,17155,16715,16895,16830,16880,16700,16745,"－",-455,16821.8277,1106.3,18609988,
"1802","",100,"大林組",3590,3640,3580,3619,3614,3628,3600,3600,"－",13,3608.1835,2696.4,9729106.1,
"1803","",100,"清水建",2908,2932,2885,2925,2925,2943.5,2897,2906.5,"－",11,2910.4014,2304.4,6706728.95,
"1808","",100,"長谷工",3250,3291,3243,3289,3289,3294,3267,3267,"－",7,3272.4147,633,2071438.5,
"1812","",100,"鹿島",6557,6642,6555,6629,6629,6635,6577,6596,"－",70,6597.0795,1963.9,12956004.5,
"1813","",100,"不動テトラ",2950,3045,2939,3040,3035,3100,3025,3080,"－",128,3035.5522,266.2,808064,
"1814","",100,"大末建",3975,4025,3970,4020,4020,4025,3965,3990,"－",-20,3996.5669,56.8,227005,
"1815","",100,"鉄建建設",5110,5170,5090,5140,5150,5150,5080,5120,"－",-20,5125.8152,92,471575,
"1820","",100,"西松建",5910,5970,5910,5948,5942,5958,5926,5926,"－",-35,5940.2312,86.5,513830,
"1833","",100,"奥村組",6560,6680,6560,6660,6650,6660,6610,6620,"－",30,6627.8753,94.6,626997,
"1835","",100,"東鉄工",4830,4875,4830,4845,4835,4855,4825,4830,"－",10,4840.0951,36.8,178115.5,
"1852","",100,"浅沼組",1100,1115,1100,1111,1111,1113,1104,1108,"－",2,1108.5868,352.1,390333.4,
"1860","",100,"戸田建",1370,1391.5,1365.5,1390,1388.5,1391.5,1383,1388,"－",10,1385.4402,554.8,768642.25,
"1861","",100,"熊谷組",1680,1730,1680,1727,1727,1729,1707,1707,"－",19,1706.6749,777.2,1326427.7,
"! 2026年1月15日(木曜日)","","","1-3",
"1870","",100,"矢作建",2450,2466,2444,2452,2455,2460,2451,2455,"－",5,2454.579,82.9,203484.6,
"1871","",100,"ピーエス",3085,3195,3080,3145,3150,3155,3115,3135,"－",55,3140.1366,120.8,379328.5,
"1873","",100,"日本ハウスＨＤ",322,325,320,324,324,327,323,327,"－",2,324.2398,117.2,38000.9,
"1879","",100,"新日本建",2095,2123,2090,2119,2118,2122,2109,2117,"－",22,2110.3799,73.7,155535,
"1882","",100,"東亜道",1775,1805,1773,1802,1802,1802,1793,1793,"－",21,1793.0335,328.8,589549.4,
"1885","",100,"東亜建",3400,3540,3360,3535,3550,3555,3400,3445,"－",-100,3461.4739,1578.5,5463936.5,
"1887","",100,"日本国土開発",615,622,601,617,619,637,617,634,"－",1,620.0945,2059.4,1277022.7,
"1888","",100,"若築建",5000,5050,4895,5010,5020,5020,4955,4955,"－",15,4974.8052,53.9,268142,
"1893","",100,"五洋建",1740,1791.5,1736,1787,1791,1792,1755,1767,"－",-5,1768.3852,3075.3,5438315.05,
"1898","",100,"世紀東急",1680,1698,1678,1696,1695,1698,1689,1696,"－",15,1691.8595,159.4,269682.4,
"1899","",100,"福田組",8160,8240,8160,8220,8240,8240,8160,8160,"－",-20,8194.5575,22.6,185197,
"1911","",100,"住友林",1700,1732,1694,1729.5,1730,1766,1728.5,1760,"－",41,1740.9213,4316.6,7514860.8,
"1925","",100,"大和ハウス",5428,5451,5391,5447,5440,5473,5437,5468,"－",56,5453.8005,1392.3,7593326.4,
"1926","",100,"ライト工",3555,3585,3520,3530,3525,3535,3505,3535,"－",-15,3532.4679,140,494545.5,
"1928","",100,"積水ハウス",3596,3626,3590,3623,3618,3640,3618,3631,"－",52,3619.7327,2917.8,10561656.2,
"1929","",100,"日特建",1362,1394,1355,1392,1393,1393,1386,1391,"－",29,1382.9361,97,134144.8,
"1930","",100,"北陸電工",1540,1570,1540,1567,1567,1589,1567,1575,"－",14,1566.554,70.4,110285.4,
"1934","",100,"ユアテック",2920,2941,2911,2933,2930,2937,2920,2921,"－",-20,2926.9893,74.5,218060.7,
"1938","",100,"日リーテック",2366,2397,2362,2393,2393,2402,2384,2392,"－",22,2386.1363,41.1,98070.2,
"1939","",100,"四電工",1645,1668,1637,1665,1667,1687,1664,1678,"－",31,1667.9707,160.4,267542.5,
"1941","",100,"中電工",4625,4705,4615,4685,4675,4690,4655,4675,"－",5,4671.5907,122.9,574138.5,
"1942","",100,"関電工",5670,5790,5643,5771,5757,5782,5691,5697,"－",17,5729.8173,829.3,4751737.5,
"1944","",100,"きんでん",7440,7499,7409,7498,7485,7488,7403,7425,"－",-15,7442.5057,453.8,3377409.1,
"1945","",100,"東京エネシス",1998,2044,1992,2040,2033,2039,2020,2037,"－",39,2025.6313,231.6,469136.2,
"1946","",100,"トーエネック",2060,2120,2053,2115,2116,2125,2109,2123,"－",60,2106.3615,229.3,482988.7,
"! 2026年1月15日(木曜日)","","","1-4",
"1950","",100,"日本電設",3565,3590,3525,3585,3585,3610,3580,3580,"－",5,3575.4472,123,439780,
"1951","",100,"エクシオグループ",2736.5,2769,2736.5,2753.5,2750,2754.5,2735,2740.5,"－",-6.5,2744.9897,475.4,1304968.1,
"1952","",100,"新日空調",3330,3365,3330,3355,3350,3380,3335,3360,"－",30,3354.5149,90.7,304254.5,
