"!株価データ",
"!","","","","午前","","","","午後","","","","","","","","",
"! コード","フラグ","売買単位","銘柄名","始値(円)","高値(円)","安値(円)","終値(円)","始値(円)","高値(円)","安値(円)","終値(円)","最終気配(円)","前日比(円)","売買高加重平均価格(円)","売買高(千株)","売買代金(千円)",
"! 2026年1月26日(月曜日)","","","1-1",
"1301","",100,"極洋",5010,5020,4985,5010,5010,5020,4990,5020,"－",20,5002.7956,40.6,203113.5,
"1332","",100,"ニッスイ",1230,1238,1224,1226.5,1230.5,1254,1230,1248,"－",18,1243.3537,2310.5,2872768.7,
"1333","",100,"マルハニチロ",1400,1402,1386.5,1387.5,1388.5,1400,1388.5,1390,"－",-5,1394.2184,684.4,954203.05,
"1375","",100,"ユキグニファクトリー",1063,1063,1051,1056,1056,1064,1056,1061,"－",-3,1058.1876,97,102644.2,
"1377","",100,"サカタのタネ",4000,4035,3990,4005,4005,4070,4005,4065,"－",45,4038.2992,161.1,650570,
"1379","",100,"ホクト",2000,2000,1981,1984,1983,1987,1980,1980,"－",-29,1986.9559,90.7,180216.9,
"1515","",100,"日鉄鉱",3300,3490,3280,3405,3420,3425,3365,3390,"－",230,3398.3165,2895.2,9838806,
"1605","",100,"ＩＮＰＥＸ",3205,3208,3165,3201,3209,3229,3202,3226,"－",-4,3206.9178,3543.4,11363392.7,
"1662","",100,"石油資源",1886,1910,1853,1896,1898,1910,1882,1890,"－",3,1885.8622,2497.3,4709563.6,
"1663","",100,"Ｋ＆Ｏエナジー",4165,4310,4125,4230,4220,4250,4185,4220,"－",-5,4224.4157,195.1,824183.5,
"1414","",100,"ショーボンド",1412.5,1422,1407.5,1416,1413,1417,1405.5,1405.5,"－",-7,1411.2029,882.1,1244822.1,
"1417","",100,"ミライト・ワン",3761,3808,3750,3760,3765,3778,3751,3755,"－",-68,3768.0659,203.3,766047.8,
"! 2026年1月26日(月曜日)","","","1-2",
"1419","",100,"タマホーム",3710,3725,3700,3700,3700,3720,3700,3710,"－",-5,3710.3133,79.8,296083,
"1429","",100,"日本アクア",897,897,885,888,888,888,883,883,"－",-16,887.618,95.8,85033.8,
"1433","",100,"ベステラ",1344,1354,1342,1349,1349,1353,1335,1335,"－",-15,1345.8474,113.4,152619.1,
"1719","",100,"安藤ハザマ",2015,2028,2006,2020,2024.5,2025.5,2007.5,2012,"－",-21,2016.1456,684.9,1380858.15,
"1720","",100,"東急建設",1343,1349,1331,1332,1331,1335,1322,1322,"－",-46,1331.8014,273.9,364780.4,
