"!株価データ",
"!","","","","午前","","","","午後","","","","","","","","",
"! コード","フラグ","売買単位","銘柄名","始値(円)","高値(円)","安値(円)","終値(円)","始値(円)","高値(円)","安値(円)","終値(円)","最終気配(円)","前日比(円)","売買高加重平均価格(円)","売買高(千株)","売買代金(千円)",
"! 2026年1月28日(水曜日)","","","1-1",
"1301","",100,"極洋",5180,5350,5120,5130,5130,5170,5100,5120,"－",40,5175.9835,97.1,502588,
"1332","",100,"ニッスイ",1294,1298.5,1274.5,1277.5,1277,1278.5,1268.5,1270,"－",-33.5,1277.982,1750.6,2237235.3,
"1333","",100,"マルハニチロ",1404.5,1411,1380,1383.5,1385.5,1397.5,1384.5,1390.5,"－",-11,1392.3212,525.6,731804,
"1375","",100,"ユキグニファクトリー",1053,1053,1050,1051,1050,1052,1048,1048,"－",-7,1050.2619,73.3,76984.2,
"1377","",100,"サカタのタネ",4055,4065,3985,4000,4000,4020,3990,4020,"－",-65,4013.3621,127.6,512105,
"1379","",100,"ホクト",1993,2000,1983,1996,1997,2004,1990,1990,"－",-3,1994.8023,61.2,122081.9,
"1515","",100,"日鉄鉱",3340,3460,3300,3435,3450,3525,3430,3515,"－",180,3440.68,1781.5,6129571.5,
"1605","",100,"ＩＮＰＥＸ",3288,3358,3283,3343,3345,3377,3337,3355,"－",97,3335.551,7230.8,24118702.5,
"1662","",100,"石油資源",1920,1923,1874,1903,1906,1940,1892,1892,"－",-18,1905.4055,2253.6,4294021.9,
"1663","",100,"Ｋ＆Ｏエナジー",4200,4220,4095,4120,4110,4160,4095,4115,"－",-65,4137.7325,130.1,538319,
"1414","",100,"ショーボンド",1410,1411,1390,1393.5,1393,1398.5,1386,1388.5,"－",-30.5,1394.2535,781.9,1090166.85,
"1417","",100,"ミライト・ワン",3750,3755,3700,3721,3713,3737,3705,3705,"－",-99,3717.4545,179.1,665796.1,
"! 2026年1月28日(水曜日)","","","1-2",
"1419","",100,"タマホーム",3710,3710,3680,3685,3685,3690,3680,3680,"－",-30,3689.1654,67.7,249756.5,
"1429","",100,"日本アクア",882,882,875,877,876,878,872,873,"－",-10,875.6901,96.8,84766.8,
"1433","",100,"ベステラ",1336,1338,1322,1334,1334,1335,1325,1326,"－",-15,1330.7711,168.2,223835.7,
"1719","",100,"安藤ハザマ",2005,2005,1986,1992,1994,2000.5,1988.5,1989,"－",-29,1993.0289,619,1233684.9,
"1720","",100,"東急建設",1304,1306,1286,1292,1290,1296,1285,1285,"－",-36,1290.8381,256.9,331616.3,
"1721","",100,"コムシスＨＤ",4869,4870,4829,4836,4860,4860,4821,4837,"－",-75,4841.3867,378.1,1830528.3,
"1726","",100,"Ｂｒ．ＨＤ",353,353,350,351,351,352,350,350,"－",-5,351.0365,63,22115.3,
